Left boundary,Right boundary,S/(B+S)
-1.414,-1.38572,0.271745470282
-1.38572,-1.35744,0.202311043758
-1.35744,-1.32916,0.179859669928
-1.32916,-1.30088,0.176193975018
-1.30088,-1.2726,0.187571395933
-1.2726,-1.24432,0.197589597209
-1.24432,-1.21604,0.207068607069
-1.21604,-1.18776,0.209347614411
-1.18776,-1.15948,0.200822078685
-1.15948,-1.1312,0.199067909454
-1.1312,-1.10292,0.191654879774
-1.10292,-1.07464,0.17899408284
-1.07464,-1.04636,0.201486374897
-1.04636,-1.01808,0.19649122807
-1.01808,-0.9898,0.196956132498
-0.9898,-0.96152,0.196394686907
-0.96152,-0.93324,0.178096212897
-0.93324,-0.90496,0.21274601687
-0.90496,-0.87668,0.172067039106
-0.87668,-0.8484,0.180667433832
-0.8484,-0.82012,0.20618556701
-0.82012,-0.79184,0.212009803922
-0.79184,-0.76356,0.193045563549
-0.76356,-0.73528,0.189119170984
-0.73528,-0.707,0.190600522193
-0.707,-0.67872,0.178663239075
-0.67872,-0.65044,0.184638109306
-0.65044,-0.62216,0.172413793103
-0.62216,-0.59388,0.181208053691
-0.59388,-0.5656,0.211764705882
-0.5656,-0.53732,0.198224852071
-0.53732,-0.50904,0.147776183644
-0.50904,-0.48076,0.177650429799
-0.48076,-0.45248,0.180616740088
-0.45248,-0.4242,0.181294964029
-0.4242,-0.39592,0.190871369295
-0.39592,-0.36764,0.185185185185
-0.36764,-0.33936,0.170658682635
-0.33936,-0.31108,0.168302945302
-0.31108,-0.2828,0.186827956989
-0.2828,-0.25452,0.170629370629
-0.25452,-0.22624,0.19512195122
-0.22624,-0.19796,0.189839572193
-0.19796,-0.16968,0.186394557823
-0.16968,-0.1414,0.172680412371
-0.1414,-0.11312,0.165545087483
-0.11312,-0.08484,0.159855769231
-0.08484,-0.05656,0.175438596491
-0.05656,-0.02828,0.174200661521
-0.02828,0.0,0.142997061704
0.0,0.02828,0.210748155954
0.02828,0.05656,0.252860411899
0.05656,0.08484,0.277093596059
0.08484,0.11312,0.277777777778
0.11312,0.1414,0.287878787879
0.1414,0.16968,0.284574468085
0.16968,0.19796,0.295487627365
0.19796,0.22624,0.324246771879
0.22624,0.25452,0.342987804878
0.25452,0.2828,0.325513196481
0.2828,0.31108,0.356545961003
0.31108,0.33936,0.330882352941
0.33936,0.36764,0.346036585366
0.36764,0.39592,0.379615952733
0.39592,0.4242,0.352855051245
0.4242,0.45248,0.364238410596
0.45248,0.48076,0.365781710914
0.48076,0.50904,0.353507565337
0.50904,0.53732,0.422131147541
0.53732,0.5656,0.380222841226
0.5656,0.59388,0.434437086093
0.59388,0.62216,0.412222222222
0.62216,0.65044,0.401136363636
0.65044,0.67872,0.429787234043
0.67872,0.707,0.394409937888
0.707,0.73528,0.430687830688
0.73528,0.76356,0.455953533398
0.76356,0.79184,0.449765258216
0.79184,0.82012,0.456125827815
0.82012,0.8484,0.453458582408
0.8484,0.87668,0.489251297257
0.87668,0.90496,0.487752161383
0.90496,0.93324,0.496507936508
0.93324,0.96152,0.488456865128
0.96152,0.9898,0.498235294118
0.9898,1.01808,0.521716378859
1.01808,1.04636,0.527551020408
1.04636,1.07464,0.528518859246
1.07464,1.10292,0.532456140351
1.10292,1.1312,0.553833929281
1.1312,1.15948,0.55125284738
1.15948,1.18776,0.563936781609
1.18776,1.21604,0.546984126984
1.21604,1.24432,0.541852844802
1.24432,1.2726,0.537796976242
1.2726,1.30088,0.548768939394
1.30088,1.32916,0.532587357676
1.32916,1.35744,0.524853104653
1.35744,1.38572,0.52079072938
1.38572,1.414,0.490484213154
