Left boundary,Right boundary,S/(B+S)
9.044,20.87382,0.503805175038
20.87382,32.70364,0.504414125201
32.70364,44.53346,0.504403131115
44.53346,56.36328,0.505072241008
56.36328,68.1931,0.510356875468
68.1931,80.02292,0.526946327166
80.02292,91.85274,0.550333391063
91.85274,103.68256,0.596536542413
103.68256,115.51238,0.673578787143
115.51238,127.3422,0.745523859603
127.3422,139.17202,0.76483781341
139.17202,151.00184,0.731028922705
151.00184,162.83166,0.65866413121
162.83166,174.66148,0.591508406919
174.66148,186.4913,0.544584463232
186.4913,198.32112,0.53013813311
198.32112,210.15094,0.518680752383
210.15094,221.98076,0.51461038961
221.98076,233.81058,0.511946729338
233.81058,245.6404,0.514619883041
245.6404,257.47022,0.510309278351
257.47022,269.30004,0.510178901912
269.30004,281.12986,0.511645962733
281.12986,292.95968,0.513557929334
292.95968,304.7895,0.510729613734
304.7895,316.61932,0.508883248731
316.61932,328.44914,0.511140235911
328.44914,340.27896,0.51355661882
340.27896,352.10878,0.516853932584
352.10878,363.9386,0.510288065844
363.9386,375.76842,0.519801980198
375.76842,387.59824,0.51566951567
387.59824,399.42806,0.508720930233
399.42806,411.25788,0.515503875969
411.25788,423.0877,0.509803921569
423.0877,434.91752,0.515555555556
434.91752,446.74734,0.516666666667
446.74734,458.57716,0.512195121951
458.57716,470.40698,0.515151515152
470.40698,482.2368,0.507462686567
482.2368,494.06662,0.508620689655
494.06662,505.89644,0.5
505.89644,517.72626,0.517647058824
517.72626,529.55608,0.509615384615
529.55608,541.3859,0.524390243902
541.3859,553.21572,0.507042253521
553.21572,565.04554,0.509803921569
565.04554,576.87536,0.510638297872
576.87536,588.70518,0.533333333333
588.70518,600.535,0.522727272727
600.535,612.36482,0.518518518519
612.36482,624.19464,0.5
624.19464,636.02446,0.5
636.02446,647.85428,0.5
647.85428,659.6841,0.5
659.6841,671.51392,0.5
671.51392,683.34374,0.5
683.34374,695.17356,0.518518518519
695.17356,707.00338,0.526315789474
707.00338,718.8332,0.625
718.8332,730.66302,0.5
730.66302,742.49284,0.529411764706
742.49284,754.32266,0.5
754.32266,766.15248,0.5
766.15248,777.9823,0.555555555556
777.9823,789.81212,0.5
789.81212,801.64194,0.5
801.64194,813.47176,0.529411764706
813.47176,825.30158,0.538461538462
825.30158,837.1314,0.6
837.1314,848.96122,0.5
848.96122,860.79104,0.571428571429
860.79104,872.62086,0.5
872.62086,884.45068,0.5
884.45068,896.2805,0.5
896.2805,908.11032,0.5
908.11032,919.94014,0.5
919.94014,931.76996,0.5
931.76996,943.59978,0.5
943.59978,955.4296,0.5
955.4296,967.25942,0.666666666667
967.25942,979.08924,0.6
979.08924,990.91906,0.5
990.91906,1002.74888,0.0
1002.74888,1014.5787,0.0
1014.5787,1026.40852,0.0
1026.40852,1038.23834,0.0
1038.23834,1050.06816,0.0
1050.06816,1061.89798,0.0
1061.89798,1073.7278,0.0
1073.7278,1085.55762,0.0
1085.55762,1097.38744,0.0
1097.38744,1109.21726,0.0
1109.21726,1121.04708,0.0
1121.04708,1132.8769,0.0
1132.8769,1144.70672,0.0
1144.70672,1156.53654,0.0
1156.53654,1168.36636,0.0
1168.36636,1180.19618,0.0
1180.19618,1192.026,0.5
